Safari Shoes,SafariShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Reaper Spirit Spawn Item,MobSpawnItem;PlaceableItem;Item;
White Flower Patch,ObjectItem;PlaceableItem;Item;
Ravenlord's Chestplate,RavenlordsChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Large Globe,ObjectItem;PlaceableItem;Item;
Wall Window (Granite Wall),ObjectItem;PlaceableItem;Item;
Lemon Sapling,ObjectItem;PlaceableItem;Item;
AirlockFailure Vinyl,VinylItem;Item;
Ruby Shields,RubyShieldsToolItem;SummonToolItem;ToolItem;Item;
Polar Claw,SimpleTrinketItem;TrinketItem;Item;
Christmas Crate,ObjectItem;PlaceableItem;Item;
Swamp Spore,ObjectItem;PlaceableItem;Item;
Wall Lantern,ObjectItem;PlaceableItem;Item;
Chroma Key Tile - 0xff00ff00,TileItem;PlaceableItem;Item;
Wall Window (Brick Wall),ObjectItem;PlaceableItem;Item;
Flower Pot,ObjectItem;PlaceableItem;Item;
Royal Egg,ObjectItem;PlaceableItem;Item;
Icicle Staff,IcicleStaffProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Torch,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Maple Desk,ObjectItem;PlaceableItem;Item;
Locked Wood Door,ObjectItem;PlaceableItem;Item;
Cow Skeleton,ObjectItem;PlaceableItem;Item;
Quartz Chestplate,QuartzChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Willow Wall,ObjectItem;PlaceableItem;Item;
Pirate Eyepatch,PirateEyePatchArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Ghost Boots,GhostBootsTrinketItem;TrinketItem;Item;
Squirrel Spawn Item,MobSpawnItem;PlaceableItem;Item;
Spiked Boots,SimpleTrinketItem;TrinketItem;Item;
Palm Desk,ObjectItem;PlaceableItem;Item;
Dungeon Dinner Table,ObjectItem;PlaceableItem;Item;
Frost Hat,FrostHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Dryad Cabinet,ObjectItem;PlaceableItem;Item;
Snow Stone Arrow Trap,ObjectItem;PlaceableItem;Item;
